text,label
"Cell division is a fascinating and fundamental process that sustains life. By this process, unicellular organisms reproduce and multicellular organisms sustain development, growth, and tissue repair. Division of a mother cell gives rise to two daughter cells according to an ordered set of events within four successive phases called G1 (gap1), S (DNA S ynthesis), G2 (gap2), and M (Mitosis) phase. How these different phases are orchestrated to ensure the physical separation of the two daughter cells is a tightly regulated process. Indeed, inappropriate cell division could lead to uncontrolled cell proliferation and ultimately to cancer. Saccharomyces cerevisiae is an excellent model system for unraveling the secrets of cell division. A large community of researchers has chosen budding yeast as a model because of its advantages: rapid growth in simple and economical media, tractable genetics, powerful biochemistry, cell biology, and proteomics approaches. Furthermore, the cell cycle mechanisms, as elucidated in yeast, are conserved in higher eukaryotes. The ability to synchronize and get large numbers of cells in a particular stage of the cell cycle is crucial to properly explore the mechanisms of the cell cycle. An overview of the most common yeast synchronization techniques has been compiled in this chapter.",31
"Any useful object is commonly made from selected engineering materials with proper shape and dimension. The selection of materials and manufacturing processes is an important criterion towards the production of useable and affordable objects. The technologies behind this knowledge are needed to acquire through study, proper education, practical training and scientific research related to Materials and Manufacturing Engineering (MME). Allah (swt), the sources of all power and knowledge, has bestowed the Guide Book, the Holy Qur'an through His beloved Messenger Prophet Mohammad (pbuh) to the mankind. Allah (swt) narrated various stories in many Surahs of the noble Qur'an related to applied science and technology. This paper is an attempt to view the integration between the revealed knowledge and the science and technology based knowledge related to engineering materials and manufacturing processes. Finally, stresses have been given to acquire knowledge on science and technology based education and understanding, and disseminate it for the cause of humanity.",84
"The international contest has strongly influenced the historiography of demographic policies in Romania, Bulgaria and the former Yugoslavia. Before 1989, national regimes justified their severe birth control policies as necessary to the productive system and their healthcare. At the time, most Western scholars considered this an expression of an attempt to extend a widespread control over all aspects of society. The peculiarity of the demographic policy of Yugoslavia, which was far more liberal than those of Romania and Bulgaria, was considered proof of the heterodoxy of its regime. The end of Cold War and the dramatic events of the Nineties in the former Yugoslavia fostered the development of a new, domestic historiography, which actively supported the policies of population growth promoted in the region, and particularly in Serbia. On the contrary, with the exception of some anthropological and sociological works, interest has declined for what concerns many of the states of the former Soviet bloc.",116
"A framework for developing a product involving manufacturing processes was developed with integrated computational materials engineering approach. The key component in the framework is a process modeling tool which includes a thermal model, a microstructure model, a thermo-mechanical, and a property model. Using friction stir welding (FSW) process as an example, development of the process modeling tool was introduced in detail. The thermal model and the microstructure model of FSW of steels were validated with the experiment data. The model can predict reasonable temperature and hardness distributions as observed in the experiment. The model was applied to predict residual stress and joint strength of a pipe girth weld.",89
"A wide-swing optical modulator driver is implemented in 0.13-mu m SiGe-BiCMOS using a three-stage distributed amplifier with a digital input line. Measurements demonstrate 6-Vp-p differential output, symmetric 6-ps (min) rise/fall times, 333-fs (rms) additive jitter, and better than 20-dB output return loss (S-11) below 58 GHz. Full output swing with adjustable (6-12 ps) rise/fall times is realized after a three-step calibration sequence facilitated by an on-chip energy detector and digital control. The circuit supports 28-48-Gb/s external data sources, or 2(11) -1 PRBS and 1-0 internal data generators for calibration and characterization respectively. The 3-mm(2) driver IC (1.8-mm(2) active area) consumes 1.92 W from + 5/-2.5-V supplies.",48
"Intranasal infection with vaccine strain of Venezuelan equine encephalitis virus (TC83) caused persistent viral infection in the brains of mice without functional a beta T-cells (a beta-TCR -/-). Remarkably, viral kinetics, host response gene transcripts and symptomatic disease are similar between a beta-TCR -/- and wild-type C57BL/6 (WT) mice during acute phase of infection [0-13 days post-infection (dpi)]. While WT mice clear infectious virus in the brain by 13 dpi, a beta-TCR -/- maintain infectious virus in the brain to 92 dpi. Persistent brain infection in a beta-TCR -/- correlated with inflammatory infiltrates and elevated cytokine protein levels in the brain at later time points. Persistent brain infection of a beta-TCR -/- mice provides a novel model to study prolonged alphaviral infection as well as the effects and biomarkers of long-term viral inflammation in the brain.",33
"Glazing transmittance variation with clearness index has higher influence than incident angle for soar energy application. This work presents variation of vacuum glazing transmittance with clearness index. Clearness index and transmittance was calculated from measured one year (2014) solar radiation and glazing transmittance data in Dublin, Ireland. Clearness index below 0.5 offer single value of transmittance whereas above 0.5 clearness index glazing transmittance varies with clearness index. For different azimuthal orientation, clearness index associated with vertical plane glazing transmittance has been proposed. In Dublin for south facing vertical plane, vacuum glazing has 35% transmittance below 0.5 clearness index. Yearly usable single transmitted solar energy and solar heat gain coefficient for vertical plane south facing vacuum glazing are 87 W/m(2) and 0.22 respectively. (C) 2016 Elsevier Ltd. All rights reserved.",100
"It is well known that multipath effect remains a dominant error source that affects the positioning accuracy of Global Navigation Satellite System (GNSS) receivers. Significant efforts have been made by researchers and receiver manufacturers to mitigate multipath error in the past decades. Recently, a multipath mitigation technique using dual-polarization antennas has become a research hotspot for it provides another degree of freedom to distinguish the line-of-sight (LOS) signal from the LOS and multipath composite signal without extensively increasing the complexity of the receiver. Numbers of multipath mitigation techniques using dual-polarization antennas have been proposed and all of them report performance improvement over the single-polarization methods. However, due to the unpredictability of multipath, multipath mitigation techniques based on dual-polarization are not always effective while few studies discuss the condition under which the multipath mitigation using a dual-polarization antenna can outperform that using a single-polarization antenna, which is a fundamental question for dual-polarization multipath mitigation (DPMM) and the design of multipath mitigation algorithms. In this paper we analyze the characteristics of the signal received by a dual-polarization antenna and use the maximum likelihood estimation (MLE) to assess the theoretical performance of DPMM in different received signal cases. Based on the assessment we answer this fundamental question and find the dual-polarization antenna's capability in mitigating short delay multipath-the most challenging one among all types of multipath for the majority of the multipath mitigation techniques. Considering these effective conditions, we propose a dual-polarization sequential iterative maximum likelihood estimation (DP-SIMLE) algorithm for DPMM. The simulation results verify our theory and show superior performance of the proposed DP-SIMLE algorithm over the traditional one using only an RHCP antenna.",35
"In this paper, a new CMOS four-quadrant analog multiplier circuit is proposed, based on a pair of dual-translinear loops. The significant features of the circuit are its high accuracy and high linearity as well as its body effect-free operation, owing to the fact that the circuit relies on a new dual-translinear topology. In addition, harmonic distortions are precisely discussed due to their conceivable mismatches, including transconductance and threshold voltage of the transistors. HSPICE postlayout simulation results are presented to verify the validity of the theoretical analysis, where under a supply voltage of 2.8 V, the bandwidth of the proposed multiplier is 137 MHz, and the corresponding maximum linearity error remains as low as 1.12%. Moreover, the power dissipation of the proposed circuit is found to be 521 mu W. The presented multiplier is expected to be useful in the design of various analog signal processing applications such as modulators and frequency doublers, as illustrated in this paper.",52
"Bringing quantum science and technology to the space frontier offers exciting prospects for both fundamental physics and applications such as long-range secure communication and space-borne quantum probes for inertial sensing with enhanced accuracy and sensitivity. But despite important terrestrial pathfinding precursors on common microgravity platforms and promising proposals to exploit the significant advantages of space quantum missions, large-scale quantum test beds in space are yet to be realised due to the high costs and lead times of traditional Big Space' satellite development. But the small space' revolution, spearheaded by the rise of nanosatellites such as CubeSats, is an opportunity to greatly accelerate the progress of quantum space missions by providing easy and affordable access to space and encouraging agile development. We review space quantum science and technology, CubeSats and their rapidly developing capabilities and how they can be used to advance quantum satellite systems.",57
"Objective The purpose of this study was to have an overview of the current approach to psoriatic arthritis (PsA) by a group of Italian rheumatologists. Methods Rheumatologists from all around Italy were asked to participate in a survey to give their opinion on a number of statements made by a panel of rheumatologists who are experts in PsA. The survey was conducted through two rounds using a Delphi-like method. The two rounds yielded a consensus on the management of PsA. Results Fifty rheumatologist from 50 rheumatology centres participated in the survey. Of the 117 proposed statements, only 10 did not reach the 66% concordance threshold. The main results of the survey were that diagnosis of PsA should be made using both the CASPAR criteria and clinical judgment, that all of the features of the psoriatic disease are relevant in the assessment and therapy of PsA, that treatment recommendations are taken into account, that all of the available biological agents may be used in bio-naive patients, that anti-drug antibody testing is still not used in daily practice, that both switching or swapping are useful options in the case of bio-failure because of lack or loss of efficacy, and that swapping is considered the best choice in the case of bio-failure due to adverse events. Conclusion The results of this survey showed that a comprehensive evaluation of the patient and a therapy choice based on both patient clinical features and evidence of drug efficacy and safety are considered the current best of care for PsA patients.",22
"The pre-mRNA of the fragile X mental retardation 1 gene (FMR1) is subject to exon skipping and alternative splice site selection, which can generate up to 12 isoforms. The expression and function of these variants in vivo has not yet been fully explored. In the present study, we investigated the distribution of Fmr1 exon 12 and exon 15 isoforms. Exon 12 encodes an extension of KH2 domain, one of the RNA binding domains in the FMR1 gene product (FMRP) and we show that exon 12 variant proteins differentially interact with kissing complex RNA. Alternative splicing at exon 15 produces FMRPs differing in RNA binding ability and each is distinguished by unique post-translational modifications. Using semiquantitative RT-PCR and Northern blotting, we found that particular Fmr1 exon 12 and exon 15 isoforms change during neuronal differentiation. Interestingly, Fmr1 exon 12 variants display tissue-specific and developmental differences, while exon 15-containing transcripts vary less. Altogether, the spatio-temporal plasticity of FMR1 mRNA is consistent with complex RNA processing that is mis-regulated in fragile X syndrome. (C) 2009 Elsevier Inc. All rights reserved.",38
"Similarly to inorganic memristors, the organic memristive devices reveal a variation of the hysteresis loop upon the frequency of the applied bias voltage. The on/off ratio of the conductivity increases from 4 to 1000 Limes for the variation of time delay (equilibration after the application of the voltage increment) from 5 to 60 s. Being implemented in multi-element electrical circuits memristive devices provide a cross-talk, leading to an equilibration trend of the conductivity values. This effect is mainly related to the formation of stable signal pathways. (C) 2014 Elsevier Ltd. All rights reserved.",45
"Background The aim of this study was to compile nationally representative statistics describing inpatient hospital care for patients with work-related injuries and illnesses covered under workers' compensation (WC) insurance in the United States. Methods Three years of data (1997-1999)from the Nationwide Inpatient Sample (NIS) were used to describe WC inpatient stays with respect to patient and hospital characteristics, principal diagnoses, number and type of procedures provided, total charges, length of stay, and time from admission to administering of the principal procedure. Results Approximately 209,139 WC hospitalizations occurred annually, representing 0.62% of all inpatient admissions. The average total charge per WC hospitalization was $14,966. After adjusting for the type of diagnosis and other factors, WC hospital care was found to involve 13-24% more procedures, have a slightly longer (4%) length of stay, and take 23-54% less time from admission to the principal procedure than inpatient care for comparable diagnoses paid by other sources. Inpatient care for disc and spinal disorders paid by WC had 16% higher charges than similar non-WC cases. Three-year trends showed a steady decline in the number of WC hospitalizations between 1997 and 1999 but a sharp 16% rise in total charges per WC stay. Conclusions This research provides an initial foundation for understanding the extent and nature of hospitalized care for injured workers in the US and identifying significant trends in the delivery of care. (C) 2003 Wiley-Liss, Inc.",28
"Renal fibrosis is a progressive pathological change characterized by tubular cell apoptosis, tubulointerstitial fibroblast proliferation, and excessive deposition of extracellular matrix (ECM). miR-21 has been implicated in transforming growth factor- (TGF-)-stimulated tissue fibrosis. Recent studies showed that sphingosine kinase/sphingosine-1-phosphate (SphK/S1P) are also critical for TGF--stimulated tissue fibrosis; however, it is not clear whether SphK/S1P interacts with miR-21 or not. In this study, we hypothesized that SphK/S1P signaling is linked to upregulation of miR-21 by TGF-. To verify this hypothesis, we first determined that miR-21 was highly expressed in renal tubular epithelial cells (TECs) stimulated with TGF- by using qRT-PCR and Northern blotting. Simultaneously, inhibition of miR-21, mediated by the corresponding antimir, markedly decreased the expression and deposition of type I collagen, fibronectin (Fn), cysteine-rich protein 61 (CCN1), -smooth muscle actin, and fibroblast-specific protein1 in TGF--treated TECs. ELISA and qRT-PCR were used to measure the S1P and SphK1 levels in TECs. S1P production was induced by TGF- through activation of SphK1. Furthermore, it was observed that TGF--stimulated upregulation of miR-21 was abolished by SphK1 siRNA and was restored by the addition of exogenous S1P. Blocking S1PR(2) also inhibited upregulation of miR-21. Additionally, miR-21 overexpression attenuated the repression of TGF--stimulated ECM deposition and epithelial-mesenchymal transition by SphK1 and S1PR(2) siRNA. In summary, our study demonstrates a link between SphK1/S1P and TGF--induced miR-21 in renal TECs and may represent a novel therapeutic target in renal fibrosis.",38
"Salinity is an adverse environmental stress that limits the yield and quality of maize. As one of the most important osmolytes present in higher plants, glycinebetaine helps stabilize metabolism in plant cells and protects the constituents of cells from damage. In this study, a gene from Atriplex micrantha that encodes betaine aldehyde dehydrogenase was introduced by Agrobacterium-mediated transformation into maize inbred lines Zheng58 and Qi319 under the control of the maize ubiquitin promoter. Putative transgenic plants were confirmed by PCR and Southern blotting analysis. The transgenic maize plants expressed higher amounts of betaine aldehyde dehydrogenase activity and also grew better than the WT plants under NaCl stress. Compared with the wild type, the transgenic plants had increased fresh weight, lower malondialdehyde content, lower relative electrical conductivity, higher chlorophyll content, taller plant height, and higher grain yield under salt stress, which indicated that the expression of BADH gene in maize seedlings enhanced the salt tolerance of these plants.",39
"Background: The mechanism of T(H)2/T(H)17-predominant and T(H)2/T(H)17-low asthma is unknown. Objective: We sought to study the immune mechanism of T(H)2/T(H)17-predominant and T(H)2/T(H)17-low asthma. Methods: In a previously reported cohort of 60 asthmatic patients, 16 patients were immunophenotyped withT(H)2/T(H)17-predominant asthma and 22 patients with T(H)2/T(H)17-low asthma. We examined bronchoalveolar lavage (BAL) fluid leukocytes, cytokines, mediators, and epithelial cell function for these asthma subgroups. Results: Patients with T(H)2/T(H)17-predominant asthma had increased IL-1 beta, IL-6, IL-23, C3a, and serum amyloid A levels in BAL fluid, and these correlated with IL-1 beta and C3a levels. T(H)2/T(H)17 cells expressed higher levels of the IL-1 receptor and phospho-p38 mitogen-activated protein kinase. Anakinra, an IL-1 receptor antagonist protein, inhibited BALT(H)2/T(H)17 cell counts. T(H)2/T(H)17-low asthma had 2 distinct subgroups: neutrophilic asthma (45%) and pauci-inflammatory asthma (55%). This contrasted with patients with T(H)2/T(H)17-predominant and T(H)2-predominant asthma, which included neutrophilic asthma in 6% and 0% of patients, respectively. BAL fluid neutrophils strongly correlated with BAL fluid myeloperoxidase, IL-8, IL-1a, IL-6, granulocyte colony-stimulating factor, and GM-CSF levels. Sixty percent of the patients with neutrophilic asthma had a pathogenic microorganism in BAL culture, which suggested a subclinical infection. Conclusion: We uncovered a critical role for the IL-1 beta pathway in patients with T(H)2/T(H)17-predminant asthma. A subgroup of patients with T(H)2/T(H)17-low asthma had neutrophilic asthma and increased BAL fluid IL-1 alpha, IL-6, IL-8, granulocyte colony-stimulating factor, and GM-CSF levels. IL-1 alpha was directly involved in IL-8 production and likely contributed to neutrophilic asthma. Sixty percent of neutrophilic patients had a subclinical infection.",109
